symbol,name,currency,exchange,country,type
001,Cardtronics plc,EUR,FSX,Germany,Common
013A,"JD.com, Inc.",EUR,FSX,Germany,Common
013C,"JD.com, Inc.",EUR,FSX,Germany,Common
016,Crescent Point Energy Corp.,EUR,FSX,Germany,Common
01H,"HORIBA, Ltd.",EUR,FSX,Germany,Common
01K,Keller Group plc,EUR,FSX,Germany,Common
01P,"Medpace Holdings, Inc.",EUR,FSX,Germany,Common
01T,Tokyu Corporation,EUR,FSX,Germany,Common
02B,"BlackLine, Inc.",EUR,FSX,Germany,Common
02G,"Guangzhou Automobile Group Co., Ltd.",EUR,FSX,Germany,Common
02H,Hexatronic Group AB (publ),EUR,FSX,Germany,Common
02M,Mosaic Co-The,EUR,FSX,Germany,Common Stock
02M,Mosaic Co-The,EUR,XETR,Germany,Common Stock
02V,Village Farms International Inc,EUR,FSX,Germany,Common Stock
038,Novocure Ltd,EUR,FSX,Germany,Common Stock
03F,IDP Education Limited,EUR,FSX,Germany,Common
03G,GasLog Partners LP,EUR,FSX,Germany,Common
03M,Martinrea International Inc.,EUR,FSX,Germany,Common
04K,Knight Therapeutics Inc.,EUR,FSX,Germany,Common
04M,Realogy Holdings Corp.,EUR,FSX,Germany,Common
04M,Realogy Holdings Corp.,EUR,Munich,Germany,Common
05G,"Forterra, Inc.",EUR,FSX,Germany,Common
05M,Dali Foods Group Company Limited,EUR,FSX,Germany,Common
06K1,Regis Healthcare Limited,EUR,FSX,Germany,Common
06MA,Materialise NV,EUR,FSX,Germany,American Depositary Receipt
06S,"Sportsman's Warehouse Holdings, Inc.",EUR,FSX,Germany,Common
074,Telenav Inc,EUR,FSX,Germany,Common Stock
079A,Blackstone Mortgage Trust Inc,EUR,FSX,Germany,Real Estate Investment Trust (REIT)
07C,Cookpad Inc.,EUR,FSX,Germany,Common
07G,"FLEETCOR Technologies, Inc.",EUR,FSX,Germany,Common
07H,CoreSite Realty Corp,EUR,FSX,Germany,Real Estate Investment Trust (REIT)
07K,PT Krakatau Steel (Persero) Tbk,EUR,FSX,Germany,Common
07M,China Modern Dairy Holdings Ltd.,EUR,FSX,Germany,Common
07S,SecureWorks Corp.,EUR,FSX,Germany,Common
07WA,Mr Cooper Group Inc,EUR,FSX,Germany,Common Stock
089,Cambium Networks Corporation,EUR,FSX,Germany,Common
089,Cambium Networks Corporation,EUR,Munich,Germany,Common
08IA,iDreamSky Technology Holdings Limited,EUR,FSX,Germany,Common
08M,Admie Holding S.A.,EUR,FSX,Germany,Common
08S,PT Bank Sinarmas Tbk,EUR,FSX,Germany,Common
08T,Tourmaline Oil Corp.,EUR,FSX,Germany,Common
096,HubSpot Inc,EUR,FSX,Germany,Common Stock
09B,Lastminute.com NV,EUR,FSX,Germany,Common Stock
0A3,Acceleron Pharma Inc.,EUR,FSX,Germany,Common
0AK,Aramark,EUR,FSX,Germany,Common
0AL,"Agile Therapeutics, Inc.",EUR,FSX,Germany,Common
0AW,Air Water Inc.,EUR,FSX,Germany,Common
0AZ,"Advanced Disposal Services, Inc.",EUR,FSX,Germany,Common
0B2,BAWAG Group AG,EUR,FSX,Germany,Common Stock
0BF1,WiMi Hologram Cloud Inc.,EUR,FSX,Germany,Common
0BS,Bapcor Limited,EUR,FSX,Germany,Common
0BX,Bright Smart Securities & Commodities Group Limited,EUR,FSX,Germany,Common
0C1,"Atreca, Inc.",EUR,FSX,Germany,Common
0C1,"Atreca, Inc.",EUR,Munich,Germany,Common
0C2,"Chubu Electric Power Company, Incorporated",EUR,FSX,Germany,Common
0C6,"CarGurus, Inc.",EUR,FSX,Germany,Common
0C8,"Catalent, Inc.",EUR,FSX,Germany,Common
0C9A,Cheetah Mobile Inc.,EUR,FSX,Germany,Common
0CDA,China Distance Education Holdings Limited,EUR,FSX,Germany,Common
0CG,"Chegg, Inc.",EUR,FSX,Germany,Common
0CL,Cloetta AB,EUR,FSX,Germany,Common Stock
0CP1,PT Charoen Pokphand Indonesia Tbk,EUR,FSX,Germany,Common
0CT,Card Factory plc,EUR,FSX,Germany,Common
0CZ,China Zhongwang Holdings Limited,EUR,FSX,Germany,Common
0DA,Dorian LPG Ltd.,EUR,FSX,Germany,Common
0DI,LCI Industries,EUR,FSX,Germany,Common
0E41,EnLink Midstream LLC,EUR,FSX,Germany,Unit
0EC,Everbright Securities Company Limited,EUR,FSX,Germany,Common
0EF,"e.l.f. Beauty, Inc.",EUR,FSX,Germany,Common
0ET,"Esperion Therapeutics, Inc.",EUR,FSX,Germany,Common
0EU,Reliance Worldwide Corporation Limited,EUR,FSX,Germany,Common
0F1,"NanoString Technologies, Inc.",EUR,FSX,Germany,Common
0FJ,FIT Hon Teng Limited,EUR,FSX,Germany,Common
0G6A,Great Bear Resources Ltd.,EUR,FSX,Germany,Common
0GB,GB Group plc,EUR,FSX,Germany,Common
0GI,Genworth Mortgage Insurance Australia Limited,EUR,FSX,Germany,Common
0GS,"Guidewire Software, Inc.",EUR,FSX,Germany,Common
